Ticker,TP,FP,FN,Precision,Recall,F1,mean_lead_time,std_lead_time,n_warnings,n_crashes
BEP,0,20,15,0.0,0.0,0.0,,,20,15
BP,0,22,21,0.0,0.0,0.0,,,22,21
COP,0,22,16,0.0,0.0,0.0,,,22,16
CVX,0,19,17,0.0,0.0,0.0,,,19,17
ENPH,0,23,16,0.0,0.0,0.0,,,23,16
EOG,0,19,13,0.0,0.0,0.0,,,19,13
FSLR,0,16,12,0.0,0.0,0.0,,,16,12
ICLN,0,20,15,0.0,0.0,0.0,,,20,15
NEE,0,18,21,0.0,0.0,0.0,,,18,21
PLUG,0,20,15,0.0,0.0,0.0,,,20,15
QCLN,0,19,8,0.0,0.0,0.0,,,19,8
SHEL,0,23,20,0.0,0.0,0.0,,,23,20
SLB,0,18,17,0.0,0.0,0.0,,,18,17
SPY,0,20,11,0.0,0.0,0.0,,,20,11
TAN,0,19,15,0.0,0.0,0.0,,,19,15
TTE,0,17,16,0.0,0.0,0.0,,,17,16
XOM,0,23,20,0.0,0.0,0.0,,,23,20
AGGREGATE,0,338,268,0.0,0.0,0.0,,,338,268
