Ticker,recent_RVI,threshold,is_warning_alert,category
QCLN,0.03239213020384153,0.005950678391311071,True,ESG / Clean Energy
ICLN,0.008281644262743627,0.005950678391311071,True,ESG / Clean Energy
BP,0.007593245855544249,0.005950678391311071,True,Fossil Fuel
NEE,0.006189803824214248,0.005950678391311071,True,ESG / Clean Energy
PLUG,0.004994176659698361,0.005950678391311071,False,ESG / Clean Energy
COP,0.004688715151114256,0.005950678391311071,False,Fossil Fuel
BEP,0.00464523484072637,0.005950678391311071,False,ESG / Clean Energy
CVX,0.004029360944701362,0.005950678391311071,False,Fossil Fuel
FSLR,0.003785214562539782,0.005950678391311071,False,ESG / Clean Energy
SLB,0.0036534193304219847,0.005950678391311071,False,Fossil Fuel
SPY,0.003433120639110078,0.005950678391311071,False,Benchmark
TTE,0.003143618560971618,0.005950678391311071,False,Fossil Fuel
ENPH,0.003061000908329467,0.005950678391311071,False,ESG / Clean Energy
TAN,0.0029400466662371583,0.005950678391311071,False,ESG / Clean Energy
SHEL,0.0024458266524147636,0.005950678391311071,False,Fossil Fuel
XOM,0.002223104644541298,0.005950678391311071,False,Fossil Fuel
EOG,0.0020905496571053967,0.005950678391311071,False,Fossil Fuel
